word,frequency,start_date,end_date,rank
la,80,21/07/2020,29/07/2020,9
amp,75,21/07/2020,29/07/2020,10
govern,69,21/07/2020,29/07/2020,11
weight,68,21/07/2020,29/07/2020,12
minist,63,21/07/2020,29/07/2020,13
quarantin,63,21/07/2020,29/07/2020,14
que,61,21/07/2020,29/07/2020,15
prime,59,21/07/2020,29/07/2020,16
whi,58,21/07/2020,29/07/2020,17
test,58,21/07/2020,29/07/2020,18
en,57,21/07/2020,29/07/2020,19
pm,57,21/07/2020,29/07/2020,20
peopl,130,01/08/2020,09/08/2020,1
amp,107,01/08/2020,09/08/2020,2
death,83,01/08/2020,09/08/2020,3
govern,79,01/08/2020,09/08/2020,4
grip,79,01/08/2020,09/08/2020,5
guardian,76,01/08/2020,09/08/2020,6
view,72,01/08/2020,09/08/2020,7
need,70,01/08/2020,09/08/2020,8
whi,67,01/08/2020,09/08/2020,9
lockdown,67,01/08/2020,09/08/2020,10
test,67,01/08/2020,09/08/2020,11
like,66,01/08/2020,09/08/2020,12
dont,65,01/08/2020,09/08/2020,13
work,59,01/08/2020,09/08/2020,14
mask,58,01/08/2020,09/08/2020,15
brexit,56,01/08/2020,09/08/2020,16
countri,53,01/08/2020,09/08/2020,17
time,52,01/08/2020,09/08/2020,18
know,52,01/08/2020,09/08/2020,19
come,52,01/08/2020,09/08/2020,20
amp,144,11/08/2020,19/08/2020,1
peopl,127,11/08/2020,19/08/2020,2
death,127,11/08/2020,19/08/2020,3
govern,123,11/08/2020,19/08/2020,4
need,101,11/08/2020,19/08/2020,5
brexit,93,11/08/2020,19/08/2020,6
dont,89,11/08/2020,19/08/2020,7
test,77,11/08/2020,19/08/2020,8
whi,75,11/08/2020,19/08/2020,9
time,74,11/08/2020,19/08/2020,10
exam,69,11/08/2020,19/08/2020,11
work,66,11/08/2020,19/08/2020,12
result,63,11/08/2020,19/08/2020,13
ani,60,11/08/2020,19/08/2020,14
respons,60,11/08/2020,19/08/2020,15
know,59,11/08/2020,19/08/2020,16
mask,59,11/08/2020,19/08/2020,17
die,59,11/08/2020,19/08/2020,18
year,58,11/08/2020,19/08/2020,19
like,55,11/08/2020,19/08/2020,20
peopl,142,21/08/2020,29/08/2020,1
amp,136,21/08/2020,29/08/2020,2
death,120,21/08/2020,29/08/2020,3
school,101,21/08/2020,29/08/2020,4
govern,78,21/08/2020,29/08/2020,5
work,77,21/08/2020,29/08/2020,6
like,76,21/08/2020,29/08/2020,7
whi,70,21/08/2020,29/08/2020,8
test,70,21/08/2020,29/08/2020,9
mask,68,21/08/2020,29/08/2020,10
die,68,21/08/2020,29/08/2020,11
need,65,21/08/2020,29/08/2020,12
brexit,61,21/08/2020,29/08/2020,13
becaus,60,21/08/2020,29/08/2020,14
case,59,21/08/2020,29/08/2020,15
dont,58,21/08/2020,29/08/2020,16
year,57,21/08/2020,29/08/2020,17
pm,55,21/08/2020,29/08/2020,18
time,54,21/08/2020,29/08/2020,19
home,52,21/08/2020,29/08/2020,20
test,194,01/09/2020,09/09/2020,1
peopl,175,01/09/2020,09/09/2020,2
whi,148,01/09/2020,09/09/2020,3
school,121,01/09/2020,09/09/2020,4
amp,104,01/09/2020,09/09/2020,5
govern,94,01/09/2020,09/09/2020,6
brexit,87,01/09/2020,09/09/2020,7
death,86,01/09/2020,09/09/2020,8
case,83,01/09/2020,09/09/2020,9
new,75,01/09/2020,09/09/2020,10
need,75,01/09/2020,09/09/2020,11
know,73,01/09/2020,09/09/2020,12
like,72,01/09/2020,09/09/2020,13
dont,69,01/09/2020,09/09/2020,14
day,58,01/09/2020,09/09/2020,15
time,57,01/09/2020,09/09/2020,16
work,57,01/09/2020,09/09/2020,17
lockdown,54,01/09/2020,09/09/2020,18
restrict,53,01/09/2020,09/09/2020,19
week,51,01/09/2020,09/09/2020,20
wave,587,11/09/2020,19/09/2020,1
second,566,11/09/2020,19/09/2020,2
hit,308,11/09/2020,19/09/2020,3
news,216,11/09/2020,19/09/2020,4
bbc,197,11/09/2020,19/09/2020,5
come,153,11/09/2020,19/09/2020,6
peopl,139,11/09/2020,19/09/2020,7
test,134,11/09/2020,19/09/2020,8
lockdown,105,11/09/2020,19/09/2020,9
inevit,96,11/09/2020,19/09/2020,10
govern,88,11/09/2020,19/09/2020,11
amp,88,11/09/2020,19/09/2020,12
pm,80,11/09/2020,19/09/2020,13
countri,78,11/09/2020,19/09/2020,14
