,word,frequency,start_date,end_date
436,the Caliphate of EnglandPOTUS Starmer,1,2020-01-11,2020-01-19
437,Exile,1,2020-01-11,2020-01-19
438,BoJo,1,2020-01-11,2020-01-19
439,IslamAtrocitiesgenocide kidnapForced,1,2020-01-11,2020-01-19
440,Telegraph,1,2020-01-11,2020-01-19
441,HarryDunn,1,2020-01-11,2020-01-19
442,Verhofstadt,1,2020-01-11,2020-01-19
443,Heres,1,2020-01-11,2020-01-19
444,BigBen,1,2020-01-11,2020-01-19
445,Stoke,1,2020-01-11,2020-01-19
446,Flag,1,2020-01-11,2020-01-19
447,Bong Definitely,1,2020-01-11,2020-01-19
448,Bercow Refuse,1,2020-01-11,2020-01-19
449,EU,58,2020-01-21,2020-01-29
450,Huawei,30,2020-01-21,2020-01-29
451,BorisJohnson,6,2020-01-21,2020-01-29
452,SNP,4,2020-01-21,2020-01-29
453,ECJ,4,2020-01-21,2020-01-29
454,Johnsons,4,2020-01-21,2020-01-29
455,NI,3,2020-01-21,2020-01-29
456,Parliament,3,2020-01-21,2020-01-29
457,the European Movement,3,2020-01-21,2020-01-29
458,WTO,3,2020-01-21,2020-01-29
459,Time,3,2020-01-21,2020-01-29
460,Country,2,2020-01-21,2020-01-29
461,GOP,2,2020-01-21,2020-01-29
462,CONGRATULATIONS,2,2020-01-21,2020-01-29
463,RussiaReport,2,2020-01-21,2020-01-29
464,Corbyn,2,2020-01-21,2020-01-29
465,Nokia,2,2020-01-21,2020-01-29
466,BrexitDay,2,2020-01-21,2020-01-29
467,CCP,2,2020-01-21,2020-01-29
468,WOW,2,2020-01-21,2020-01-29
469,FFS,2,2020-01-21,2020-01-29
470,Hamas,2,2020-01-21,2020-01-29
471,UKAid,2,2020-01-21,2020-01-29
472,BREXIT,2,2020-01-21,2020-01-29
473,Mirror,2,2020-01-21,2020-01-29
474,BNO,2,2020-01-21,2020-01-29
475,DUP,2,2020-01-21,2020-01-29
476,the European Union,2,2020-01-21,2020-01-29
477,Scots,2,2020-01-21,2020-01-29
478,Cease,1,2020-01-21,2020-01-29
479,Coronavirus Noticing Things,1,2020-01-21,2020-01-29
480,United,1,2020-01-21,2020-01-29
481,MAGA,1,2020-01-21,2020-01-29
482,Morality,1,2020-01-21,2020-01-29
483,Brexiters,1,2020-01-21,2020-01-29
484,Britain Piccaninnies,1,2020-01-21,2020-01-29
485,State,1,2020-01-21,2020-01-29
486,Leave banner httpstcoc6tZJTbqn3,1,2020-01-21,2020-01-29
487,Next,1,2020-01-21,2020-01-29
488,the Palestinians,1,2020-01-21,2020-01-29
489,Vitriol,1,2020-01-21,2020-01-29
490,the Holocaust,1,2020-01-21,2020-01-29
491,LalaLand,1,2020-01-21,2020-01-29
492,Microsoft,1,2020-01-21,2020-01-29
